bb951a6	Sara Young	2017-01-26 14:14:14 +0000	77
7bad815	Sara Young	2017-01-26 13:18:54 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/osbourne-repo
c350b4f	Sara Young	2017-01-26 13:18:43 +0000	77 workds
8aefa41	Jim Leach	2017-01-26 12:31:30 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/./osbourne-repo
6aa75b8	Jim Leach	2017-01-26 12:31:21 +0000	Ensure test recs back to total payments in the calc
ac8a8af	Jim Leach	2017-01-26 12:26:32 +0000	Ensure test recs back to total payments in the calc
00d244b	Somto Okoye	2017-01-26 12:13:21 +0000	tc_071 modified to include cases where total was equal to 35
0594246	Jim Leach	2017-01-26 12:05:47 +0000	Ensure test recs back to total payments in the calc
f310611	Jim Leach	2017-01-26 12:01:13 +0000	Ensure test recs back to total payments in the calc
1b50a44	Jim Leach	2017-01-26 11:57:46 +0000	Ensure test recs back to total payments
fef1635	Sara Young	2017-01-26 11:31:55 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/osbourne-repo
c851ba2	Sara Young	2017-01-26 11:31:48 +0000	Sras updates
1253d28	Jim Leach	2017-01-26 11:22:31 +0000	Ensure that all tests point at build_004
70a7c3f	Somto Okoye	2017-01-26 11:15:38 +0000	scripts mofified to incliude null cases as fails - tc_079, tc_081, tc_082, tc_083, tc_084, tc_085, tc_086
8ab3169	Sara Young	2017-01-26 10:59:03 +0000	NewChanges to Sara
ed1da3d	Sara Young	2017-01-26 10:44:43 +0000	 Sara changing 62 and 68 bacl
d86b439	Jim Leach	2017-01-26 07:56:54 +0000	Update build to build_004
dde3d60	Jim Leach	2017-01-26 07:55:50 +0000	Remove fields from calc in step 1
41cfed1	Jim Leach	2017-01-26 07:48:40 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/./osbourne-repo
680e79a	Jim Leach	2017-01-26 07:48:32 +0000	Minor re-factor of code
0b60b0a	Somto Okoye	2017-01-25 18:29:02 +0000	tc_083 modified to acknowledge null values as fails
a0551ea	Somto Okoye	2017-01-25 18:26:39 +0000	tc079 modified to acknowledge nulls as fails
1d1f730	Somto Okoye	2017-01-25 18:19:43 +0000	tc_60 modified to acknowledge null values as fails
312f158	Somto Okoye	2017-01-25 18:13:41 +0000	tc_067 modified to include all null cases
48dfcde	Somto Okoye	2017-01-25 18:06:15 +0000	tc_069 and tc_071 modified to fail nulls
01635a5	Somto Okoye	2017-01-25 17:48:00 +0000	tc_073 modfied to include nulls as fails
ae3588e	Somto Okoye	2017-01-25 17:46:46 +0000	082 modified
8f1a8f6	Somto Okoye	2017-01-25 17:43:29 +0000	tc_082 modified
9b23bc3	Somto Okoye	2017-01-25 17:37:18 +0000	tc_076 created but not complete yet
79e7fe4	Somto Okoye	2017-01-25 17:22:00 +0000	tc_078 created and scripted
c38b389	Somto Okoye	2017-01-25 16:17:48 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/osbourne-repo
b6aa555	Somto Okoye	2017-01-25 16:17:40 +0000	I created and scripted tc_074 and Jim modified tc_032, tc_033, tc_034, tc_038 and tc_042
bcf7b9a	Jim Leach	2017-01-25 16:16:47 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/./osbourne-repo
91140eb	Jim Leach	2017-01-25 16:16:41 +0000	Update tc031
43995f7	Somto Okoye	2017-01-25 15:51:23 +0000	tc_086 scripted
3557b1f	Somto Okoye	2017-01-25 15:44:36 +0000	tc_086 created
aedc656	Somto Okoye	2017-01-25 15:16:47 +0000	tc_084 modified to acknowledge st-dev of null as pass, as this occurs when only one payment entry exists within a group
fb2d79d	Jim Leach	2017-01-25 14:48:31 +0000	Add back total fails per payment
f53c0d4	Jim Leach	2017-01-25 14:03:46 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/./osbourne-repo
12624c8	Jim Leach	2017-01-25 14:03:39 +0000	Remove summation - takes too long to calc all in one go
8045dd7	Somto Okoye	2017-01-25 13:10:08 +0000	tc_81 modified to include null values in FAIL column
e446e8b	Somto Okoye	2017-01-25 13:00:13 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/osbourne-repo
b9cb394	Somto Okoye	2017-01-25 13:00:00 +0000	tc_080 and tc_081 created and scripted
85e9b65	Jim Leach	2017-01-25 12:52:48 +0000	Merge branch 'master' of //na02/da/Projects/Osbourne/./osbourne-repo
