146c89c	Nicola McCabe	2017-03-06 08:55:53 +0000	Change script to produce outputs so that remediation values are to 2dp
63c1f45	Nicola McCabe	2017-03-03 15:08:50 +0000	Add non-pensionable field to sample output data
b4271bd	Nicola McCabe	2017-03-03 15:08:12 +0000	Update final testing script to exclude tests which have been commented out
055f865	Nicola McCabe	2017-03-02 13:24:36 +0000	Update remediation output code and tests
ed1c92d	Sara Young	2017-03-01 16:04:18 +0000	added leaver flag to s3 where theyve been a leaver in all periods.updated check s16 basic calc to include paymentid
ca01e98	Nicola McCabe	2017-02-28 17:51:23 +0000	Update remediation per employee code
af295ac	Nicola McCabe	2017-02-28 15:07:06 +0000	Add timestamp to last test
344f1d5	Nicola McCabe	2017-02-28 14:56:58 +0000	Add s6 layer to sum remediation cost by employee
cb4b52c	Sara Young	2017-02-28 11:27:21 +0000	 put back into s2
b0653ca	Sara Young	2017-02-28 09:51:54 +0000	updated s15 exclusions
c58241c	Sara Young	2017-02-27 22:37:15 +0000	updated pop identificaion
17b7ff8	Somto Okoye	2017-02-27 19:57:46 +0000	Merge branch 'build_008' of //na02/da/Projects/Osbourne/osbourne-repo into build_008
26526cd	Somto Okoye	2017-02-27 19:57:21 +0000	013 s5 changed to include all new salary sacrifices
322ef5e	Nicola McCabe	2017-02-27 19:54:15 +0000	take basicpay900 from s3 table not s2
87c387d	Nicola McCabe	2017-02-27 19:29:48 +0000	Merge branch 'build_008' of //na02/da/Projects/Osbourne/osbourne-repo into build_008
8bcc0fe	Nicola McCabe	2017-02-27 19:29:38 +0000	Update leaver flag in s5 table
b03819d	Sara Young	2017-02-27 19:19:00 +0000	Merge branch 'build_008' of //na02/da/Projects/Osbourne/osbourne-repo into build_008
cd32377	Sara Young	2017-02-27 19:18:46 +0000	canrt rememberr  - sorry jim incase your watching
5bc4aeb	Nicola McCabe	2017-02-27 18:31:43 +0000	Update prep b script so as not to change work days to null when zero
27a29d3	Somto Okoye	2017-02-27 17:50:42 +0000	new salary sacrifices added to s5 reporting layer
db2c1b1	Sara Young	2017-02-27 16:43:13 +0000	moving all from tesing out of calc002
7355d7f	Sara Young	2017-02-27 15:12:54 +0000	making changes to accom for working hours is 0
ac976be	Somto Okoye	2017-02-27 10:54:13 +0000	exclusions table modified to include NEW EXCLUSIONS
aafa28c	Sara Young	2017-02-27 10:34:33 +0000	changed to use the flag from s3
253f54c	Sara Young	2017-02-27 10:33:45 +0000	changed names to zaero rate
e396723	Sara Young	2017-02-27 10:31:53 +0000	 added time stamps
a597fe4	Sara Young	2017-02-27 09:09:20 +0000	modified changes to the testing due to errors
c0fe3ba	Sara Young	2017-02-27 09:03:11 +0000	add a timestamp
6b8c39a	Sara Young	2017-02-26 18:37:27 +0000	updating exclusions to exclude where the newly calculated hrly_rte is less than 4
1b8f868	Sara Young	2017-02-26 17:20:51 +0000	updating exclusions to exclude where the newly calculated hrly_rte is less than 4
acca33d	Sara Young	2017-02-26 15:59:25 +0000	leaving option of changing exclusion open
874ac4f	Sara Young	2017-02-26 14:55:00 +0000	updated the calc logic in step 22 so that we use start_payroll-date to get the nmw instead of payroll_end_date
25b2e02	Somto Okoye	2017-02-25 18:15:22 +0000	more exclusions
0333da2	Somto Okoye	2017-02-24 21:27:24 +0000	 errors fixed
